"colMeans.states.","InfoPublYear","InfoPublMonth"
1.626625,2007,9
1.39725,2007,12
1.51175,2008,4
1.33175,2008,5
1.061875,2008,9
1.016375,2008,10
1.011875,2008,11
1.0065,2008,12
1.005,2009,1
1.006625,2009,2
1.022625,2009,3
1.176,2009,4
1.019,2009,5
1.005875,2009,6
1.075875,2009,7
1.99425,2009,8
1.230875,2009,9
1.884875,2009,10
1.994125,2009,11
1.99225,2009,12
1.168375,2010,1
1.039125,2010,2
1.01475,2010,3
1.026625,2010,4
1.000875,2010,5
1.0265,2010,6
1.0015,2010,8
1.545875,2010,9
1.117375,2010,10
1.053625,2010,11
1.533125,2010,12
1.0175,2011,1
1.029125,2011,2
1.018875,2011,3
1.01825,2011,4
1.0375,2011,5
1.001375,2011,6
1.005125,2011,7
1.003875,2011,8
1.015125,2011,9
1.003375,2011,10
1.006125,2011,11
1.092375,2011,12
1.30475,2012,1
1.068125,2012,2
1.00025,2012,3
1.008375,2012,4
1.031375,2012,5
1.0085,2012,6
1.06075,2012,7
1.003875,2012,8
1.006125,2012,9
1.76575,2012,10
1.00725,2012,11
1.008625,2012,12
1.112875,2013,1
1.029375,2013,2
1.746375,2013,3
1.19675,2013,4
1.044125,2013,5
1.011125,2013,7
1.046125,2013,8
1.36825,2013,9
1.2955,2013,10
1.451375,2013,11
1.827875,2013,12
1.0635,2014,1
1.0405,2014,2
1.391125,2014,4
1.0745,2014,5
1.085875,2014,6
1.47275,2014,7
2,2014,8
1.25525,2014,9
1.964375,2014,10
1.393625,2014,11
1.3845,2014,12
1.4475,2015,1
1.49325,2015,3
1.853,2015,4
1.36275,2016,2
1.818,2016,5
1.834875,2016,6
1.1445,2016,9
1.04125,2016,10
1.00825,2016,11
1.078625,2016,12
2,2017,2
1.40825,2017,5
1.50425,2017,7
1.618125,2017,8
1.946125,2017,9
1.85475,2018,1
1.956,2018,7
1.67525,2018,12
1.8785,2019,7
1.37925,2019,11
1.7765,2019,12
1.093125,2020,1
1.040875,2020,2
1.036125,2020,3
