"colMeans.states.","InfoPublYear","InfoPublMonth"
1.9775,2005,11
1.94225,2005,12
2,2006,1
1.997125,2006,3
1.1995,2006,8
1.007625,2006,11
1.015625,2006,12
1.17175,2007,12
1.998875,2008,1
1.7585,2008,2
2,2008,3
1.349875,2008,4
1.3595,2008,5
1.004625,2008,7
1.02675,2008,8
1.013125,2008,9
2,2008,10
1.001,2008,11
1.001125,2008,12
1.021,2009,1
1.01975,2009,2
1.05725,2009,3
1.244,2009,4
1.17575,2009,5
1.000375,2009,6
1.002375,2009,8
1.000125,2009,9
1.003875,2009,10
1.943125,2009,11
1.987125,2009,12
1.95775,2010,1
1.745125,2010,2
1.24475,2010,3
1.069125,2010,4
1.018125,2010,5
1.017625,2010,6
1.036125,2010,7
1.032,2010,8
1.16025,2010,9
1.07525,2010,10
1.06775,2010,11
1.952,2010,12
1.6465,2011,1
1.30925,2011,2
1.074625,2011,3
1.01275,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1.000125,2011,9
1.000375,2011,10
1,2011,11
1.02,2011,12
1.025625,2012,2
2,2012,3
1.3095,2012,4
1.345875,2012,5
1.044625,2012,6
1.001875,2012,7
1,2012,8
1.00025,2012,9
1,2012,10
1,2012,11
1,2012,12
1.000125,2013,1
1,2013,2
1.001625,2013,3
1,2013,4
1.001625,2013,5
1,2013,6
1,2013,7
1,2013,8
1,2013,9
1,2013,10
1,2013,11
1,2013,12
1,2014,1
1,2014,2
1.365875,2014,3
1.001125,2014,4
1.06975,2014,5
1.000375,2014,6
1,2014,7
1.000625,2014,8
1,2014,9
1.0825,2014,10
1,2014,11
1,2014,12
1,2015,1
1,2015,3
1.7965,2015,4
1.9895,2015,9
2,2015,10
2,2015,11
1.979875,2015,12
1.9955,2016,1
1.91225,2016,2
1.08975,2016,3
1.097125,2016,4
1.04125,2016,5
1.000375,2016,6
1.0015,2016,7
1,2016,8
1,2016,9
1.000125,2016,10
1,2016,11
1,2016,12
1,2017,1
1,2017,2
1,2017,3
1,2017,4
1.000375,2017,5
1,2017,6
1.012625,2017,7
1.0055,2017,8
1.561625,2017,9
1.464125,2017,10
1.94475,2017,11
1.939625,2017,12
1.33525,2018,2
1.2825,2018,3
1.286625,2018,4
1.215375,2018,5
2,2018,6
1.9725,2018,7
2,2018,8
1.303125,2018,9
1.258875,2018,10
1.061,2018,11
1.03275,2018,12
1.061875,2019,1
1.0085,2019,2
1.08825,2019,3
1.183625,2019,4
1.77275,2019,5
1.236875,2019,6
1.012375,2019,7
1.216875,2019,8
1.989,2019,9
1.25425,2019,10
1.10175,2019,11
1.815625,2019,12
1.002,2020,1
1,2020,2
1.00025,2020,3
1.036875,2020,4
1.023125,2020,5
1.000125,2020,6
1.011625,2020,7
1.143875,2020,8
1,2020,9
1,2020,10
1.0045,2020,11
1,2020,12
1.000125,2021,1
1,2021,2
1,2021,3
1,2021,4
1.000125,2021,5
1.015125,2021,6
1,2021,7
1,2021,8
1.000125,2021,9
1.0855,2021,10
1,2021,11
1.001,2021,12
1.010625,2022,1
1.0105,2022,2
1.000125,2022,3
1,2022,4
1,2022,5
1,2022,6
1,2022,7
1,2022,8
1,2022,9
1.000125,2022,10
1.0265,2022,11
1.203875,2022,12
1.00075,2023,1
1,2023,2
1.000125,2023,3
1.031375,2023,4
1,2023,5
1.0005,2023,6
1,2023,7
1,2023,8
1,2023,9
1.003125,2023,10
1.40975,2023,11
1.914875,2023,12
1.995125,2024,1
