"colMeans.states.","InfoPublYear","InfoPublMonth"
1.05333333333333,2007,12
1.99966666666667,2008,1
1.95633333333333,2008,2
2,2008,3
1.641,2008,4
1.69366666666667,2008,5
1.01166666666667,2008,7
1.04,2008,8
1.09733333333333,2008,9
1.99733333333333,2008,10
1.00066666666667,2008,11
1,2008,12
1.002,2009,1
1,2009,2
1.00166666666667,2009,3
1.26133333333333,2009,4
1.00233333333333,2009,5
1,2009,6
1,2009,8
1,2009,9
1,2009,10
1.99966666666667,2009,11
1.99766666666667,2009,12
2,2010,1
1.991,2010,2
1.85366666666667,2010,3
1.32166666666667,2010,4
1.33533333333333,2010,5
1.25766666666667,2010,6
1.22133333333333,2010,7
1.023,2010,8
1.147,2010,9
1.813,2010,10
1.629,2010,11
2,2010,12
1.742,2011,1
1.071,2011,2
1,2011,3
1,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1,2011,9
1,2011,10
1,2011,11
1.00033333333333,2011,12
1.034,2012,2
2,2012,3
1.105,2012,4
1,2012,5
1,2012,6
1,2012,7
1,2012,8
1,2012,9
1,2012,10
1,2012,11
1,2012,12
1,2013,1
1,2013,2
1,2013,3
1,2013,4
1,2013,5
1,2013,6
1,2013,7
1,2013,8
1,2013,9
1,2013,10
1,2013,11
1,2013,12
1,2014,1
1,2014,2
1.889,2014,3
1.00133333333333,2014,4
1.147,2014,5
1.004,2014,6
1,2014,7
1,2014,8
1,2014,9
1.003,2014,10
1,2014,11
1,2014,12
1,2015,1
1,2015,3
1.23533333333333,2015,4
2,2015,9
2,2015,10
2,2015,11
1.99533333333333,2015,12
1.99966666666667,2016,1
1.00833333333333,2016,2
1.00666666666667,2016,3
1.57766666666667,2016,4
1.00266666666667,2016,5
1.00333333333333,2016,6
1,2016,7
1,2016,8
1,2016,9
1,2016,10
1,2016,11
1,2016,12
1,2017,1
1,2017,2
1,2017,3
1,2017,4
1,2017,5
1,2017,6
1.00266666666667,2017,7
1.00266666666667,2017,8
1.92166666666667,2017,9
1.71833333333333,2017,10
2,2017,11
2,2017,12
1.97166666666667,2018,2
1.84933333333333,2018,3
2,2018,4
1.997,2018,5
2,2018,6
2,2018,7
2,2018,8
1.99866666666667,2018,9
2,2018,10
1.23433333333333,2018,11
1.00833333333333,2018,12
1.03533333333333,2019,1
1.09133333333333,2019,2
1.34233333333333,2019,3
1.09933333333333,2019,4
1.246,2019,5
1.16066666666667,2019,6
1.00333333333333,2019,7
1.27433333333333,2019,8
2,2019,9
1.344,2019,10
1.007,2019,11
1.00333333333333,2019,12
1.00033333333333,2020,1
1,2020,2
1.001,2020,3
1.005,2020,4
1.063,2020,5
1.00066666666667,2020,6
1.00066666666667,2020,7
1.01633333333333,2020,8
1,2020,9
1,2020,10
1,2020,11
1,2020,12
1,2021,1
1,2021,2
1,2021,3
1,2021,4
1,2021,5
1.00066666666667,2021,6
1,2021,7
1,2021,8
1,2021,9
1.70333333333333,2021,10
1,2021,11
1,2021,12
1,2022,1
1,2022,2
1,2022,3
1,2022,4
1,2022,5
1,2022,6
1,2022,7
1,2022,8
1,2022,9
1,2022,10
1.00033333333333,2022,11
1.003,2022,12
1,2023,1
1,2023,2
1,2023,3
1.00233333333333,2023,4
1,2023,5
1,2023,6
1,2023,7
1,2023,8
1,2023,9
1,2023,10
1.04066666666667,2023,11
1.659,2023,12
2,2024,1
