,市场溢酬因子__流通市值加权_Rmrf_tmv_C,市场溢酬因子__流通市值加权_Rmrf_tmv_K,市场溢酬因子__流通市值加权_Rmrf_tmv_E,市场溢酬因子__流通市值加权_Rmrf_tmv_S,市场溢酬因子__流通市值加权_Rmrf_tmv_I,市场溢酬因子__流通市值加权_Rmrf_tmv_F,市场溢酬因子__流通市值加权_Rmrf_tmv_N,市场溢酬因子__流通市值加权_Rmrf_tmv_H,市场溢酬因子__流通市值加权_Rmrf_tmv_G,市场溢酬因子__流通市值加权_Rmrf_tmv_J,市场溢酬因子__流通市值加权_Rmrf_tmv_B,市场溢酬因子__流通市值加权_Rmrf_tmv_D,市场溢酬因子__流通市值加权_Rmrf_tmv_R,市场溢酬因子__流通市值加权_Rmrf_tmv_M,市场溢酬因子__流通市值加权_Rmrf_tmv_L,市场溢酬因子__流通市值加权_Rmrf_tmv_A,市场溢酬因子__流通市值加权_Rmrf_tmv_Q,市场溢酬因子__流通市值加权_Rmrf_tmv_P,市场溢酬因子__流通市值加权_Rmrf_tmv_O,msg
2.0-1.0,0.434235055,0.275236702,0.000408282,0.808996237,0.014067211,0.740224012,0.167106093,0.007449023,0.00041134,0.071214079,8.38E-11,0.007878599,0.299119198,1.81E-26,1.06E-12,0.019996309,2.61E-14,0.010635686,1.57E-14,general
2.0-1.0,0.378512401,0.03479567,0.007857017,0.682693455,0.010113203,0.529169752,0.429857115,0.220802138,0.026363682,0.306851943,1.41E-06,0.075528296,0.055141807,0.015940443,4.88E-09,0.056974501,0.712819563,9.57E-10,5.37E-42,InfoLevel1
1.0-2.0,0.332959989,0.37797461,0.19001161,0.233098901,0.75695934,0.502303481,0.621214124,0.858756474,0.47160918,0.540760863,0.026850208,0.535988359,0.164113244,2.21E-12,0.464588109,0.737125769,5.38E-06,0.905641083,0.009228354,InfoLevel2
2.0-1.0,0.531758064,0.519530852,0.736508153,0.559473803,0.493734447,0.516049989,0.583343015,0.537986123,0.828631786,0.632430604,0.696514301,0.710141547,0.059457742,0.030127862,0.92391504,0.589306829,0.049322123,0.272786013,0.1762123,InfoLevel3
2.0-1.0,0.006071777,0.019886316,0.018195432,0.065500754,0.027712629,0.027712629,0.225233445,0.047849456,0.170150338,0.706909169,0.123381342,0.254143091,0.04825296,0.770341929,0.175028109,0.004487134,0.007354769,0.047376193,0.00902322,InfoLevel4
,市值因子__流通市值加权_Smb_tmv_C,市值因子__流通市值加权_Smb_tmv_K,市值因子__流通市值加权_Smb_tmv_E,市值因子__流通市值加权_Smb_tmv_S,市值因子__流通市值加权_Smb_tmv_I,市值因子__流通市值加权_Smb_tmv_F,市值因子__流通市值加权_Smb_tmv_N,市值因子__流通市值加权_Smb_tmv_H,市值因子__流通市值加权_Smb_tmv_G,市值因子__流通市值加权_Smb_tmv_J,市值因子__流通市值加权_Smb_tmv_B,市值因子__流通市值加权_Smb_tmv_D,市值因子__流通市值加权_Smb_tmv_R,市值因子__流通市值加权_Smb_tmv_M,市值因子__流通市值加权_Smb_tmv_L,市值因子__流通市值加权_Smb_tmv_A,市值因子__流通市值加权_Smb_tmv_Q,市值因子__流通市值加权_Smb_tmv_P,市值因子__流通市值加权_Smb_tmv_O,msg
2.0-1.0,0.12734737,0.589252678,3.30E-05,0.005500437,0.01025749,0.670460999,0.008231294,9.50E-05,0.000291828,0.039030094,5.02E-11,0.032606547,0.039643352,1.81E-26,1.72E-13,3.15E-05,2.61E-14,0.006530087,1.57E-14,general
2.0-1.0,0.61857194,0.576184995,0.006469844,0.135389762,0.047840759,0.673789701,0.108538738,0.001445165,0.026221041,0.173982348,1.10E-06,0.157059987,0.278844609,0.010214366,4.42E-08,0.00268236,0.567488086,9.57E-10,5.37E-42,InfoLevel1
1.0-2.0,0.671889274,0.607921439,0.947543714,0.108393072,0.407226211,0.331098992,0.466966622,0.985979524,0.585824852,0.714879148,0.191239431,0.846592264,0.249561267,2.21E-12,0.901817475,0.291640863,3.29E-06,0.674564379,0.009228354,InfoLevel2
2.0-1.0,0.741257323,0.353383932,0.472375247,0.708415984,0.539806187,0.463235759,0.123418405,0.346731646,0.960833039,0.038570596,0.95007914,0.617595138,0.369688323,0.006645856,0.00214128,0.786109553,0.199753306,0.272786013,0.269965271,InfoLevel3
2.0-1.0,0.061194271,0.086303276,0.410757345,0.383397144,0.51802573,0.57620631,0.607149351,0.247859656,0.650514548,0.087767804,0.217469856,0.87690819,0.52780756,0.483902741,0.511938441,0.141569475,0.023323476,0.101468569,0.006204109,InfoLevel4
,账面市值比因子__流通市值加权_Hml_tmv_C,账面市值比因子__流通市值加权_Hml_tmv_K,账面市值比因子__流通市值加权_Hml_tmv_E,账面市值比因子__流通市值加权_Hml_tmv_S,账面市值比因子__流通市值加权_Hml_tmv_I,账面市值比因子__流通市值加权_Hml_tmv_F,账面市值比因子__流通市值加权_Hml_tmv_N,账面市值比因子__流通市值加权_Hml_tmv_H,账面市值比因子__流通市值加权_Hml_tmv_G,账面市值比因子__流通市值加权_Hml_tmv_J,账面市值比因子__流通市值加权_Hml_tmv_B,账面市值比因子__流通市值加权_Hml_tmv_D,账面市值比因子__流通市值加权_Hml_tmv_R,账面市值比因子__流通市值加权_Hml_tmv_M,账面市值比因子__流通市值加权_Hml_tmv_L,账面市值比因子__流通市值加权_Hml_tmv_A,账面市值比因子__流通市值加权_Hml_tmv_Q,账面市值比因子__流通市值加权_Hml_tmv_P,账面市值比因子__流通市值加权_Hml_tmv_O,msg
