,InfoPublYear,InfoPublMon,0,1,2,3,4,5,6,7,8,9
148,2006,12,0.678716838,0.454546481,-1.413002253,-0.757744789,-0.576889992,0.154642195,0.939975977,-0.696340978,-1.624678016,-0.040394746
149,2007,1,0.606324553,0.537612975,-1.330170989,-0.663708806,-0.70616585,0.012831813,0.803506851,-0.140583068,-1.689195752,-0.143162861
150,2007,2,0.671159267,0.48046717,-1.323212862,-0.921773553,-0.252979815,0.059576813,1.237121105,-0.727559388,-1.350234151,-0.039201651
151,2007,3,0.43196103,0.357419044,-1.472095132,-0.867312968,-0.343041956,0.238430694,1.14816153,-0.730176747,-1.654993892,0.10028398
152,2007,4,0.790709853,0.067553438,-0.958659708,-0.962563455,-0.08869601,0.25328505,1.38643539,-0.175954431,-1.866238594,0.173186779
153,2007,5,0.766595304,0.374451846,-1.373962879,-1.285062075,0.194533065,0.506797969,0.862369537,-0.078473948,-2.052523136,0.414170265
154,2007,6,0.47988981,-0.853519261,-1.394290209,-0.867320418,-0.396369696,0.648216784,1.615508556,-0.235975772,-2.299082041,1.155518174
155,2007,7,0.700734913,0.615776122,-0.773916364,-0.6229105,-0.450478822,0.28861773,1.162787914,-0.100542493,-1.313885808,0.099034585
156,2007,8,1.271306634,0.30560571,-0.342502713,-1.029850721,-0.742371738,0.961194396,1.702513337,1.481434822,-3.155555487,0.78532356
157,2007,9,0.352186233,1.261566997,-1.882225156,-0.241132095,-0.711153746,0.461840481,1.138063908,-0.194048285,-1.125352621,-0.708685398
158,2007,10,0.679387689,0.17101036,-1.128167391,-0.92567879,-0.39006266,0.167309448,1.065501332,-0.225069925,-1.615900755,0.032294773
159,2007,11,0.892415345,0.608920276,-1.355033398,-0.540577471,-1.248218417,-0.151857764,0.968989968,-0.317504257,-2.441393852,-0.033046756
160,2007,12,1.0637182,1.040405869,-1.157788515,-1.103167176,-0.929513633,0.215426907,0.648552358,0.175991789,-2.021274805,-0.657728255
161,2008,1,0.611588061,0.878618181,-1.245769978,-1.0990206,-0.913214684,0.153889954,0.929277956,-0.628239393,-1.55496645,-0.317804694
162,2008,2,0.736456215,1.059661388,-0.966407537,-0.633748591,-0.861962736,0.520564616,1.277797937,1.103438139,-1.962931514,-0.259296507
163,2008,3,0.487597883,1.041971087,-1.399319768,-1.219748616,-1.094219208,-0.231863722,0.370950073,-0.07232517,-1.364275098,-0.716383696
164,2008,4,0.552542806,0.486764103,-1.352997899,-1.131598353,-1.416460156,0.240715623,0.689047635,0.854818046,-1.575677752,-0.008938916
165,2008,5,1.108608723,1.38408947,-0.907325566,-0.311668158,-0.52661854,0.47774449,1.380650401,0.348016739,-2.380128622,0.478618026
166,2008,6,0.556957483,0.376364321,-1.341885686,-0.628691018,-0.403200239,-0.016724711,1.245374203,-0.592818737,-1.683280468,-0.035313223
167,2008,7,0.6798563,0.438733757,-1.158941031,-0.691432297,-0.757210314,0.044242933,0.643252969,-0.207497343,-1.652207375,-0.173652247
