,InfoPublYear,InfoPublMon,0,1,2,3,4,5,6,7,8,9
2,2006,12,1.004538536,0.31821689,-0.674312949,-0.654645264,0.126891553,0.481761485,1.281728029,0.339361846,-2.749622345,1.187661409
3,2007,2,0.702772617,-2.345156193,-1.096917987,-2.697039366,-4.876825333,-1.43656981,1.540391684,-1.751630425,-4.43333292,-0.876069844
4,2007,9,0.657045782,0.64802283,-2.328769922,-3.043841124,-1.441068411,-1.356869221,-1.7853508,-0.464414597,-1.031732917,-0.589105189
5,2007,12,0.877984285,-0.182869568,-0.705403805,-1.283731103,-1.283008456,0.812799871,0.922831774,1.832522631,-2.962096214,0.901321769
6,2008,4,1.045870781,1.333308458,-0.492723852,-0.367959917,-1.788329005,0.88271755,1.095090508,0.192961559,-3.115097046,0.883443236
7,2008,5,0.659647644,0.931263089,-0.196065083,-0.792541623,-1.912827253,1.433267117,1.03595376,0.899823487,-4.361337185,1.604240298
8,2008,9,0.867599726,0.49377653,-1.250864029,-1.378125548,0.012555678,0.159263715,0.896070302,-0.897864163,-1.438887954,-0.189989984
9,2008,10,0.512436926,0.7946316,-1.80459404,-0.816429913,-0.811284721,-0.036493745,0.928008676,-0.312962472,-1.498683572,-0.997304559
10,2008,11,0.412239552,0.731144905,-1.586002111,-0.801481724,-0.7346012,-0.147813275,1.01428175,-0.295214027,-1.486252666,-0.643351912
11,2008,12,0.496439159,0.758263469,-1.269495964,-0.818557203,-0.461711347,0.167476758,1.475466967,-0.017756928,-1.395521998,-0.606308997
12,2009,1,0.477791578,0.275099069,-1.320062399,-1.05370295,-0.36121276,0.161142826,1.344739079,0.370899528,-1.414800525,-0.145598158
13,2009,2,0.897400618,0.770360649,-1.096510053,-1.696117997,-0.899113953,-0.07469371,0.517019749,0.575429142,-1.231746912,-0.444481522
14,2009,3,0.780963838,0.194420815,-1.416215301,-0.09185303,0.041657761,0.786337554,1.270527005,1.257087827,-2.886712551,0.822117329
15,2009,4,0.589349926,0.397662848,-1.323501348,-1.105360031,-0.209896088,0.147356763,1.006603956,0.92161572,-1.619829059,-0.189127564
16,2009,5,0.503596961,0.695993841,-1.262591958,-1.833288789,-0.849887252,0.264730304,0.860169232,0.98232317,-1.030887842,-0.399493366
17,2009,6,0.167210937,1.153499246,-1.142891288,-0.84510541,-0.248439595,0.509919643,0.477212697,0.574903369,-2.242919207,-0.17932336
18,2009,7,0.772011638,0.587231994,-1.508344293,-1.559454083,0.30547604,0.579445958,1.106832743,1.050819635,-1.63451612,0.290367842
19,2009,8,1.573734879,-1.076354623,-1.157214999,-1.867150545,0.631097257,0.41317457,1.832952738,1.297286034,-1.954921722,-0.542687118
20,2009,9,0.563016057,0.872965515,-1.193299532,-1.362639308,-0.392962605,0.482445002,0.144714326,1.228272319,-1.778918028,1.048466086
21,2009,10,0.809819818,0.240997806,-1.580387354,-0.113195777,-1.414969087,-0.161383554,0.773142397,1.206038713,-2.30988431,0.89392066
22,2009,11,-0.235313967,2.489378929,-3.35658884,-2.539230347,0.286707848,0.591412306,0.357206434,1.090140224,-0.800114095,-1.374536276
23,2009,12,1.539035559,-1.70698297,-0.314854234,-1.366369486,-0.131198004,0.401040584,0.565872788,1.651926279,-3.746016026,0.233900845
24,2010,1,0.266453207,1.747422218,-1.818659067,-1.03772974,-0.933025479,0.180852458,1.48113358,1.683593154,-1.041812778,-0.22164911
25,2010,2,1.055507421,1.348006129,-1.470797181,-0.935134888,-0.302051634,-0.344909191,1.131541491,0.233774632,-1.379657507,-0.240762666
26,2010,3,0.817239881,0.553713143,-1.439361095,-0.80172509,-0.29807201,0.25645566,0.86451453,1.230582476,-1.296880484,-0.13381581
27,2010,4,0.035769012,1.282015443,-1.656159639,-0.035368733,-1.004871368,0.611977041,1.514951825,0.971530139,-1.823401332,-0.668366075
28,2010,5,0.462723315,0.788870692,-1.187405825,-0.308220565,-0.969971657,0.355441064,1.643289804,0.531421542,-2.209503651,-0.367872059
29,2010,6,1.023146033,1.186688423,-0.734764814,-1.472388744,-1.807240963,-0.076440483,1.52052021,-1.23795867,-0.754630089,-0.772994995
30,2010,8,0.044773202,0.431099892,-1.255775213,-1.193499684,-0.491861761,0.880973995,1.176373243,0.828532815,-2.267429352,0.253670871
31,2010,9,0.748997927,1.930551648,-1.206303477,-0.924314439,-0.497133195,0.576123834,2.670585155,1.608765602,-0.966436148,-1.215592504
32,2010,10,0.95757544,1.036886692,-0.988924384,-1.014275789,-0.811978698,-0.128636464,0.766212106,-0.009888016,-2.289435387,-0.446250051
33,2010,11,0.882327378,0.653515339,-0.779350102,-2.095692873,-0.94031018,0.119282387,0.337112814,0.620042145,-1.468279481,-0.719195664
34,2010,12,0.642985523,1.11626792,-1.724222183,-1.484469771,0.844824314,0.694440424,2.626744986,0.927816868,-0.378879547,-1.276710987
35,2011,1,0.781963885,1.949878454,-1.867151856,-0.229054108,-0.512949467,0.221981362,0.432254136,-0.301492512,-1.431164742,-0.490957469
36,2011,2,0.548974156,1.441279411,-0.918647408,-1.119264841,-0.59919405,0.41884461,1.45307374,-0.006548571,-1.24352622,-0.300183773
37,2011,3,0.791735888,1.323315263,-1.768647552,-0.736450791,-0.251307547,-0.170429036,0.765580595,0.452492952,-1.308040738,-0.883194625
38,2011,4,0.624996543,0.535611451,-1.608524561,-0.42117849,-0.934546471,-0.067223832,0.849405169,0.142382175,-1.690053582,-0.392817467
39,2011,5,0.656862736,0.681174755,-1.5148139,-0.564431131,-0.984614193,0.078612685,0.793281555,0.369466066,-1.622915983,-0.546365619
40,2011,6,0.412082016,0.52245456,-1.322146773,-1.555213928,-0.812358916,0.075983204,1.019371748,0.536810756,-1.567749262,-0.450066954
41,2011,7,0.388762116,1.585235476,-1.868409276,-0.10725145,-0.806580842,0.114454985,1.134259939,0.726714671,-1.074459791,-1.335425854
42,2011,8,0.878576458,1.251952052,-1.748662233,-0.692320049,-0.591738701,0.042488068,1.050525784,0.078986749,-1.555357695,-1.245963931
43,2011,9,1.322970867,0.811295211,-1.04040277,-1.175980568,-0.324424535,-0.320831507,0.013567527,0.109307334,-2.346966982,0.393435001
44,2011,10,0.276083946,0.920763254,-2.054247141,-0.838085592,-0.468828619,0.127718568,0.871874809,1.204542398,-0.912566185,-0.76778692
45,2011,11,0.68490684,1.105163693,-0.466983408,-1.379665732,-1.187488317,0.016923791,0.648960233,0.347079724,-2.807990789,0.753767073
